movieId,title,duration,genres,releaseYear
98,The Last Kingdom (1985),200,Romance|Adventure,1985
99,Mystery of Hero (2026),155,Comedy|Family|Fantasy,2026
100,Chronicles of Forest (1979),158,Action|Adventure|Family,1979
101,Legend of Empire (2021),197,Horror|Fantasy|Action,2021
102,Journey to Forest (2024),90,Animation|Fantasy,2024
103,Secrets of Dream (2005),151,Fantasy|Romance,2005
104,Finding Light (2002),129,Fantasy|Animation|Thriller,2002
105,Mystery of Galaxy (2018),106,Crime|Horror|Fantasy,2018
106,Secrets of Forest (1987),131,Thriller,1987
107,Battle for Forest (1987),117,Horror|Adventure,1987
108,Rise of Empire (1984),124,Animation|Comedy|Adventure,1984
109,Chronicles of Hero (1991),144,Family|Action,1991
110,Legend of Fire (1996),124,Thriller|Action|Romance,1996
111,Chronicles of Shadow (1970),195,Crime|Family,1970
112,Chronicles of Dream (2017),169,Romance|Comedy|Fantasy,2017
113,Legend of Galaxy (1997),137,Family,1997
114,Escape from Code (2013),177,Thriller|Animation,2013
115,Mystery of Light (1978),200,Horror|Action|Family,1978
116,Beyond the Truth (2012),78,Sci-Fi,2012
117,Chronicles of Empire (2025),134,Action,2025
118,Battle for Hero (1990),102,Drama|Thriller,1990
119,Chronicles of Galaxy (2018),196,Crime|Adventure,2018
120,Mystery of Kingdom (2017),144,Drama,2017
121,Legend of Code (1974),174,Action|Thriller|Comedy,1974
122,Legend of Fire (1971),154,Comedy,1971
123,Rise of Shadow (2012),89,Comedy|Fantasy|Crime,2012
124,Escape from Empire (2008),152,Thriller|Adventure|Animation,2008
125,Battle for City (2007),78,Romance|Sci-Fi,2007
126,Chronicles of Hero (2015),100,Romance,2015
127,Finding Fire (2010),106,Thriller,2010
128,Battle for Fire (2013),151,Romance,2013
129,The Last Isle (2004),129,Drama|Adventure|Horror,2004
130,Secrets of Isle (1970),183,Fantasy|Adventure,1970
131,Chronicles of Isle (2010),189,Thriller|Animation,2010
132,Chronicles of Empire (2016),141,Crime|Romance|Horror,2016
133,Mystery of Shadow (1997),180,Romance|Crime|Drama,1997
134,Legend of Fire (1975),110,Comedy|Fantasy,1975
135,Beyond the Truth (2012),123,Action|Fantasy,2012
136,Escape from Empire (2001),102,Crime|Drama,2001
137,Battle for Light (2008),164,Horror|Action,2008
138,Journey to Forest (1975),105,Family|Fantasy|Horror,1975
139,Legend of Night (2000),157,Fantasy|Thriller|Action,2000
140,Return of Galaxy (1984),126,Comedy|Crime|Romance,1984
141,Escape from Shadow (2005),142,Family|Horror,2005
142,Escape from Isle (2014),133,Crime|Thriller,2014
143,Legend of City (2016),99,Adventure|Horror,2016
144,Finding Empire (1982),102,Fantasy|Crime|Romance,1982
145,Journey to Truth (1988),200,Comedy,1988
146,Battle for Forest (1993),97,Action|Horror,1993
147,Rise of Galaxy (1972),199,Horror,1972
148,Battle for Night (1978),156,Adventure|Action,1978
149,Beyond the Galaxy (2000),136,Drama|Animation,2000
150,The Last Galaxy (2025),136,Adventure,2025
151,Chronicles of Shadow (1974),148,Sci-Fi|Action|Animation,1974
152,Rise of River (2006),196,Adventure|Comedy,2006
153,Return of Dream (2018),128,Romance|Thriller|Comedy,2018
154,Journey to Hero (1998),191,Crime|Romance,1998
155,Chronicles of Galaxy (2006),154,Romance,2006
156,Finding City (2018),101,Comedy|Crime|Adventure,2018
157,Rise of Forest (1981),145,Animation,1981
158,The Last Hero (1998),163,Fantasy|Crime|Action,1998
159,Legend of Galaxy (2015),111,Fantasy|Adventure|Comedy,2015
160,Battle for River (2020),155,Sci-Fi|Comedy|Family,2020
161,Return of Dream (1984),157,Crime,1984
162,Rise of City (1973),96,Romance|Thriller,1973
163,Battle for Shadow (1977),134,Crime|Family|Thriller,1977
164,Journey to Dream (2001),131,Romance,2001
165,The Last Light (1997),169,Romance|Crime,1997
166,The Last City (1984),198,Romance|Thriller|Action,1984
167,Secrets of Fire (1987),148,Animation,1987
168,Mystery of Dream (2011),131,Animation|Romance,2011
169,Chronicles of Code (2022),137,Fantasy,2022
170,Escape from Hero (1991),116,Adventure|Animation|Drama,1991
171,Chronicles of Night (2001),111,Family|Horror|Action,2001
172,Mystery of City (1990),107,Adventure|Family,1990
173,Journey to Fire (1970),159,Fantasy|Family|Action,1970
174,Legend of Dream (1993),154,Sci-Fi|Fantasy,1993
175,The Last Forest (1987),145,Crime,1987
176,Mystery of Light (2014),137,Action,2014
177,Secrets of Truth (2021),105,Animation|Crime|Horror,2021
178,The Last Dream (1996),86,Adventure,1996
179,Mystery of City (2011),181,Fantasy,2011
180,Finding Galaxy (2002),165,Family|Fantasy,2002
181,Mystery of Forest (1999),145,Family,1999
182,Legend of Light (2008),140,Animation|Adventure|Crime,2008
183,Chronicles of Isle (2020),139,Action|Crime,2020
184,Finding Galaxy (2023),150,Sci-Fi|Fantasy|Animation,2023
185,Mystery of Dream (2000),119,Horror|Thriller,2000
186,Chronicles of Shadow (1990),186,Thriller,1990
187,Legend of Truth (1994),104,Action|Drama,1994
188,Finding Shadow (2015),191,Family|Sci-Fi,2015
189,Secrets of Empire (2001),198,Animation,2001
190,Journey to Truth (1991),186,Fantasy,1991
191,Return of Dream (1999),76,Animation|Family|Thriller,1999
192,Return of Shadow (2020),199,Drama|Romance,2020
193,Finding Hero (2011),85,Sci-Fi|Horror,2011
194,Chronicles of Isle (2010),166,Horror|Action,2010
195,Beyond the City (1985),155,Crime|Comedy|Adventure,1985
196,Chronicles of City (2018),156,Adventure|Fantasy|Animation,2018
197,Finding Galaxy (1971),80,Action|Crime,1971
198,Escape from Isle (1997),93,Horror,1997
199,Chronicles of Truth (2013),176,Animation,2013
200,Rise of City (2009),186,Romance|Sci-Fi,2009
201,Legend of Shadow (2007),93,Fantasy,2007
202,Secrets of Galaxy (1999),107,Action|Fantasy|Crime,1999
203,Secrets of Dream (1980),84,Drama|Romance,1980
204,Battle for Code (1997),163,Fantasy|Crime,1997
205,Legend of Hero (2024),136,Comedy,2024
206,Chronicles of Truth (1992),148,Thriller|Crime,1992
207,The Last Fire (2012),125,Action|Romance,2012
208,Secrets of River (2017),199,Romance,2017
209,Finding Shadow (2023),190,Comedy|Romance,2023
210,Escape from Forest (2010),99,Crime|Sci-Fi|Animation,2010
211,Secrets of City (2010),157,Crime,2010
212,Mystery of Kingdom (2007),121,Animation|Adventure|Crime,2007
213,Escape from Night (1996),97,Animation,1996
214,Journey to Light (1993),142,Crime|Animation|Thriller,1993
215,Mystery of River (1988),170,Adventure|Fantasy,1988
216,Return of Empire (2018),198,Sci-Fi,2018
217,Finding Code (1995),198,Drama|Adventure|Family,1995
218,The Last Galaxy (2004),90,Drama|Sci-Fi,2004
219,Finding Code (1986),149,Sci-Fi|Drama,1986
220,Return of Code (1984),135,Romance,1984
221,Journey to Isle (2009),103,Adventure|Sci-Fi|Fantasy,2009
222,Finding Galaxy (2011),127,Animation,2011
223,The Last Kingdom (1989),138,Adventure,1989
224,Legend of Light (2004),92,Fantasy|Drama,2004
225,Secrets of Night (2014),196,Family|Romance|Animation,2014
226,Chronicles of Code (1976),181,Romance|Family,1976
227,Battle for Kingdom (2014),122,Fantasy,2014
228,Mystery of Forest (2024),121,Sci-Fi,2024
229,Escape from Dream (2011),120,Family,2011
230,Battle for Forest (1977),196,Adventure|Sci-Fi,1977
231,Legend of Code (2010),151,Action,2010
232,Escape from Forest (1978),175,Comedy|Adventure|Horror,1978
233,Legend of Truth (1983),179,Drama,1983
234,Rise of River (2008),75,Animation|Thriller,2008
235,Journey to Galaxy (2021),97,Sci-Fi,2021
236,The Last Empire (1970),120,Romance,1970
237,Escape from Kingdom (1981),108,Animation,1981
238,Finding Hero (2003),89,Adventure|Fantasy|Sci-Fi,2003
239,Escape from Dream (2007),88,Horror|Comedy,2007
240,Beyond the Kingdom (2016),175,Horror|Crime|Fantasy,2016
241,Secrets of Kingdom (1973),136,Family|Sci-Fi,1973
242,Return of Shadow (2015),191,Adventure|Thriller,2015
243,Escape from Truth (1979),83,Crime,1979
244,Beyond the Code (2007),145,Drama|Family|Romance,2007
245,Journey to Galaxy (1999),139,Family|Adventure|Sci-Fi,1999
246,Secrets of Code (2026),173,Thriller|Comedy|Family,2026
247,Mystery of Light (1984),127,Fantasy|Family,1984
248,Chronicles of Night (1976),115,Drama|Sci-Fi,1976
249,Battle for Isle (1979),162,Adventure|Thriller,1979
250,Return of City (1997),87,Thriller|Drama|Animation,1997
251,Journey to Kingdom (2007),197,Horror|Drama|Adventure,2007
252,Chronicles of Isle (2025),160,Thriller|Action,2025
253,Battle for Truth (1989),120,Romance,1989
254,Journey to Forest (1979),159,Comedy|Adventure,1979
255,Escape from Fire (2005),122,Crime,2005
256,Beyond the Forest (2021),129,Romance|Thriller|Horror,2021
257,The Last Truth (2012),181,Crime|Action|Animation,2012
258,Battle for Night (2018),114,Drama|Action,2018
259,Rise of Fire (1979),147,Family|Adventure|Animation,1979
260,Finding Code (1971),86,Horror|Comedy|Family,1971
261,Chronicles of Shadow (1991),95,Crime|Drama,1991
262,Beyond the Truth (1975),188,Animation,1975
263,Rise of River (2009),81,Adventure|Crime|Fantasy,2009
264,Secrets of Hero (2001),152,Family|Crime,2001
265,Legend of River (2002),89,Family|Adventure,2002
266,Battle for Code (2013),150,Horror|Sci-Fi,2013
267,Battle for Kingdom (1984),125,Action|Thriller|Comedy,1984
268,Battle for Forest (2019),92,Crime|Drama,2019
269,Return of Kingdom (2001),170,Animation|Thriller,2001
270,Chronicles of Dream (2015),104,Horror|Sci-Fi|Drama,2015
271,Return of Hero (2025),169,Family,2025
272,The Last Shadow (1974),185,Romance|Family,1974
273,Beyond the Hero (2015),156,Crime|Adventure,2015
274,Chronicles of Kingdom (1990),96,Fantasy|Drama|Adventure,1990
275,Chronicles of Fire (1976),106,Romance|Family,1976
276,Journey to City (1995),186,Thriller|Drama,1995
277,Legend of Isle (2019),96,Horror,2019
278,Secrets of City (2003),140,Drama,2003
279,Escape from Night (2022),157,Comedy,2022
280,Return of Empire (1986),100,Romance,1986
281,Rise of River (2018),158,Animation,2018
282,Secrets of Shadow (1999),171,Romance|Fantasy|Thriller,1999
283,Secrets of Code (2009),116,Drama|Animation|Fantasy,2009
284,Return of Shadow (1998),155,Crime|Romance,1998
285,The Last Isle (2002),84,Fantasy|Thriller,2002
286,The Last Kingdom (1993),181,Adventure|Sci-Fi,1993
287,Return of Truth (2008),139,Fantasy|Romance,2008
288,Journey to River (2017),189,Fantasy,2017
289,Beyond the Code (1982),116,Fantasy|Horror|Animation,1982
290,The Last Shadow (1976),178,Thriller|Adventure,1976
291,Journey to Code (1981),80,Thriller,1981
292,Mystery of Shadow (2003),141,Animation|Drama|Sci-Fi,2003
293,Battle for Hero (1996),174,Sci-Fi|Romance,1996
294,The Last River (2010),157,Adventure|Drama,2010
295,Return of Dream (2013),124,Crime|Sci-Fi,2013
296,Beyond the Fire (1979),117,Romance,1979
297,Secrets of Empire (1992),114,Thriller|Sci-Fi|Family,1992
298,Rise of Truth (2015),195,Crime,2015
299,Journey to Hero (2011),176,Animation|Sci-Fi,2011
300,Finding Fire (2017),162,Adventure|Sci-Fi|Family,2017
301,Journey to Isle (1971),121,Animation|Comedy,1971
302,Escape from River (2001),99,Animation,2001
303,Rise of City (1988),183,Horror,1988
304,Journey to Fire (2017),188,Action|Sci-Fi|Drama,2017
305,Beyond the Empire (2008),123,Animation,2008
306,Rise of Fire (2014),173,Animation|Fantasy|Action,2014
307,Chronicles of Isle (2013),167,Fantasy,2013
308,Beyond the Galaxy (2018),170,Comedy|Horror,2018
309,Legend of Galaxy (2021),175,Comedy|Drama,2021
310,Secrets of Truth (1998),134,Family|Horror,1998
311,Journey to Hero (1980),179,Romance,1980
312,Rise of Fire (1986),81,Fantasy|Drama|Horror,1986
313,Return of Night (2024),141,Crime,2024
314,Return of River (1980),109,Horror|Animation,1980
315,Chronicles of City (1984),179,Drama|Action,1984
316,Chronicles of Kingdom (1995),139,Comedy|Family,1995
317,Return of Isle (1984),78,Adventure|Sci-Fi,1984
318,Escape from River (1979),92,Crime,1979
319,Mystery of Night (2023),92,Fantasy|Thriller|Romance,2023
320,The Last Light (1975),77,Comedy|Animation,1975
321,Journey to Night (2008),142,Adventure|Crime,2008
322,Legend of Galaxy (1977),81,Family,1977
323,Secrets of River (2009),133,Adventure,2009
324,Mystery of Truth (2004),77,Horror|Romance|Comedy,2004
325,Finding Empire (1988),129,Romance,1988
326,Escape from Forest (2006),128,Sci-Fi,2006
327,Secrets of City (2003),199,Adventure|Horror,2003
328,Journey to Dream (2020),139,Action|Family|Fantasy,2020
329,The Last Code (1994),200,Crime|Action,1994
330,Escape from River (1974),119,Thriller,1974
331,Secrets of Code (1976),173,Thriller|Drama|Animation,1976
332,The Last Isle (2004),118,Animation|Sci-Fi|Fantasy,2004
333,Finding Shadow (2010),98,Adventure,2010
334,Finding River (1999),79,Comedy|Action,1999
335,Legend of Light (1972),115,Horror|Family,1972
336,Journey to Shadow (1986),79,Comedy|Crime|Drama,1986
337,The Last Fire (2011),117,Adventure|Drama,2011
338,Chronicles of Light (1995),170,Family|Drama,1995
339,Rise of Shadow (2014),138,Horror|Crime,2014
340,Return of Night (1997),85,Romance|Animation,1997
341,Journey to Galaxy (1990),88,Drama,1990
342,Secrets of Galaxy (1989),132,Thriller|Family|Animation,1989
343,Finding Shadow (1992),132,Thriller,1992
344,Escape from Truth (1997),110,Action|Adventure|Family,1997
345,Escape from Dream (2021),170,Animation|Action|Thriller,2021
346,Beyond the Code (2020),131,Animation,2020
347,Return of Forest (2019),157,Drama|Family,2019
348,Beyond the Kingdom (2008),94,Fantasy|Drama|Sci-Fi,2008
349,Mystery of River (1974),148,Horror,1974
350,Escape from Hero (1990),158,Comedy|Adventure,1990
351,The Last Night (1981),138,Family|Horror|Adventure,1981
352,Battle for River (1986),165,Comedy|Romance,1986
353,Battle for Night (2001),100,Animation,2001
354,Return of Shadow (1981),190,Fantasy|Adventure|Drama,1981
355,Secrets of Isle (2015),83,Horror|Crime|Sci-Fi,2015
356,Rise of Night (2015),193,Sci-Fi|Animation|Drama,2015
357,Journey to Forest (1977),100,Comedy,1977
358,Mystery of Kingdom (1993),145,Drama|Fantasy|Horror,1993
359,Rise of Truth (2026),86,Crime,2026
360,Chronicles of Night (2016),136,Family|Thriller|Romance,2016
361,Return of Empire (1990),157,Fantasy,1990
362,Mystery of Code (2003),119,Horror,2003
363,Secrets of Truth (1981),173,Family,1981
364,Journey to Light (2025),82,Horror,2025
365,Rise of Galaxy (1980),95,Thriller|Comedy,1980
366,Escape from Dream (1988),183,Crime,1988
367,Legend of Code (2005),110,Sci-Fi,2005
368,Battle for Truth (2004),86,Sci-Fi|Animation|Romance,2004
369,Beyond the Empire (1980),159,Thriller|Romance|Drama,1980
370,Beyond the Kingdom (2022),185,Adventure,2022
371,The Last Code (2019),148,Sci-Fi|Comedy,2019
372,Beyond the Hero (2009),156,Fantasy,2009
373,Secrets of Dream (1988),157,Fantasy|Comedy,1988
374,Secrets of Hero (1989),133,Thriller,1989
375,The Last Empire (1998),128,Fantasy|Comedy,1998
376,Escape from Truth (1979),115,Drama|Thriller|Family,1979
377,Rise of River (1993),140,Adventure|Drama|Comedy,1993
378,Mystery of City (1987),132,Animation,1987
379,Return of Kingdom (1988),196,Romance|Family,1988
380,Legend of Fire (1980),179,Romance|Drama,1980
381,Legend of River (1980),138,Fantasy|Thriller|Crime,1980
382,Mystery of Kingdom (1975),195,Horror|Fantasy,1975
383,Legend of Forest (2007),120,Action,2007
384,Battle for Shadow (2008),187,Sci-Fi|Fantasy|Crime,2008
385,Journey to Kingdom (2024),88,Animation|Crime,2024
386,Finding Isle (2018),126,Action|Family,2018
387,The Last Truth (2005),99,Horror|Crime,2005
388,Return of Hero (2002),132,Crime|Romance|Sci-Fi,2002
389,Return of Empire (1976),125,Drama|Horror,1976
390,Escape from River (1979),100,Horror|Family|Thriller,1979
391,The Last Kingdom (1972),92,Drama|Fantasy|Horror,1972
392,Mystery of Empire (2008),189,Animation|Drama|Romance,2008
393,Escape from Empire (1995),153,Crime|Romance|Drama,1995
394,Journey to Fire (2002),143,Thriller|Romance,2002
395,Battle for Shadow (2022),77,Drama|Sci-Fi,2022
396,Return of Hero (2007),114,Thriller|Sci-Fi|Action,2007
397,Beyond the Shadow (1986),198,Romance|Thriller|Comedy,1986
398,Finding Kingdom (2007),136,Horror,2007
399,Secrets of Night (2009),174,Animation|Sci-Fi,2009
400,Legend of Kingdom (2006),196,Adventure|Comedy|Action,2006
401,Mystery of Isle (1996),94,Thriller|Comedy,1996
402,Chronicles of Dream (2019),153,Thriller|Action,2019
403,Finding Empire (2003),101,Drama|Sci-Fi|Fantasy,2003
404,Journey to Hero (1990),197,Fantasy,1990
405,Journey to Isle (2004),120,Thriller|Sci-Fi|Crime,2004
406,Beyond the Shadow (1982),197,Crime,1982
407,Journey to Galaxy (1984),195,Crime|Comedy,1984
408,Finding Night (2001),115,Drama|Horror,2001
409,Finding Galaxy (1988),90,Sci-Fi|Horror|Family,1988
410,Chronicles of Fire (1992),197,Crime,1992
411,The Last Galaxy (2015),85,Fantasy|Sci-Fi,2015
412,Battle for Night (2000),102,Horror,2000
413,Battle for Light (2005),164,Animation|Adventure,2005
414,Beyond the Night (2007),105,Action,2007
415,Secrets of Light (2003),103,Comedy|Action|Adventure,2003
416,Chronicles of Isle (2015),135,Sci-Fi,2015
417,Rise of Kingdom (2005),200,Family,2005
418,Secrets of Light (2026),187,Fantasy|Sci-Fi,2026
419,Legend of River (1988),116,Sci-Fi|Action,1988
420,Return of Code (2006),104,Thriller|Action|Animation,2006
421,Chronicles of Light (2023),97,Family,2023
422,Mystery of Empire (2017),198,Action|Thriller,2017
423,Battle for Truth (2008),88,Crime|Fantasy,2008
424,Secrets of Dream (2003),138,Horror,2003
425,Mystery of Galaxy (1982),178,Drama,1982
426,Rise of Night (1999),157,Thriller|Animation,1999
427,The Last Night (1991),176,Romance|Sci-Fi,1991
428,Legend of Empire (2009),184,Family|Thriller|Horror,2009
429,Escape from City (1995),160,Animation,1995
430,Rise of Shadow (1990),194,Action,1990
431,Battle for Hero (1985),132,Drama|Crime,1985
432,Beyond the Night (2006),76,Sci-Fi|Drama,2006
433,Finding Forest (1973),160,Fantasy,1973
434,Battle for Empire (1995),162,Thriller|Crime|Adventure,1995
435,Secrets of Light (1988),122,Comedy|Thriller|Animation,1988
436,Mystery of Empire (1999),170,Drama|Family|Horror,1999
437,Mystery of River (2004),177,Comedy|Thriller|Romance,2004
438,Return of Dream (1998),142,Drama|Adventure|Romance,1998
439,Return of Kingdom (2023),145,Comedy|Romance|Horror,2023
440,Rise of Empire (1990),184,Fantasy|Adventure|Comedy,1990
441,Finding Truth (2001),86,Fantasy|Action|Thriller,2001
442,Rise of Dream (1996),133,Action|Horror|Fantasy,1996
443,Secrets of River (1989),167,Family,1989
444,Battle for Fire (1970),170,Romance,1970
445,Return of Kingdom (1997),119,Adventure|Horror|Action,1997
446,Return of Light (2000),79,Family|Animation,2000
447,Rise of River (2011),200,Sci-Fi|Family|Drama,2011
448,Chronicles of Shadow (2025),192,Family|Adventure,2025
449,Secrets of Code (2025),144,Sci-Fi,2025
450,Escape from City (1981),143,Horror|Animation,1981
451,Finding Forest (2023),75,Crime,2023
452,Mystery of Code (2016),144,Horror|Family,2016
453,Legend of Forest (1999),119,Crime,1999
454,Legend of Light (2026),167,Action,2026
455,Secrets of Hero (2009),173,Comedy,2009
456,Legend of City (1976),151,Fantasy,1976
457,Beyond the Code (2015),186,Comedy,2015
458,Finding Kingdom (1995),131,Horror,1995
459,Legend of River (2025),174,Animation,2025
460,Journey to Galaxy (1984),179,Romance|Drama|Thriller,1984
461,Beyond the River (2013),179,Comedy|Crime,2013
462,Rise of Code (2003),103,Crime|Thriller,2003
463,The Last Dream (2007),187,Animation|Sci-Fi|Family,2007
464,Journey to Shadow (1973),199,Sci-Fi|Thriller,1973
465,Chronicles of River (2003),115,Family|Thriller|Animation,2003
466,Battle for Hero (1981),171,Fantasy|Comedy|Sci-Fi,1981
467,Battle for Fire (2015),93,Action|Horror,2015
468,Chronicles of Hero (2005),142,Family,2005
469,Legend of Galaxy (1983),117,Adventure|Fantasy|Drama,1983
470,Return of Dream (2016),181,Action,2016
471,Battle for Hero (2013),152,Action|Adventure|Comedy,2013
472,Beyond the Night (2012),146,Fantasy,2012
473,Legend of Fire (1991),113,Comedy,1991
474,Legend of Night (1977),170,Comedy|Romance,1977
475,Finding Forest (1995),192,Horror,1995
476,Escape from River (1988),123,Horror|Sci-Fi,1988
477,Escape from Galaxy (1986),121,Fantasy|Thriller|Adventure,1986
478,Finding Shadow (2018),182,Comedy|Drama,2018
479,Escape from Hero (1972),147,Thriller,1972
480,Rise of Kingdom (1986),145,Romance|Family|Crime,1986
481,Rise of Forest (1991),104,Romance|Comedy,1991
482,Mystery of Dream (2011),195,Drama|Crime|Fantasy,2011
483,Finding Code (2017),137,Animation|Drama,2017
484,Rise of Empire (2016),144,Animation|Horror,2016
485,Secrets of Kingdom (2003),79,Sci-Fi,2003
486,The Last River (1970),127,Sci-Fi,1970
487,Legend of City (2015),94,Comedy,2015
488,Journey to Shadow (1993),82,Sci-Fi|Thriller|Romance,1993
489,Mystery of Code (2001),77,Horror,2001
490,Journey to Hero (1970),77,Thriller|Crime|Horror,1970
491,Battle for Kingdom (2002),179,Sci-Fi|Family|Animation,2002
492,Return of Light (1976),142,Comedy,1976
493,Legend of Truth (2003),107,Crime|Family,2003
494,Return of Isle (1995),133,Comedy|Thriller|Crime,1995
495,Secrets of Fire (2024),85,Sci-Fi|Action|Adventure,2024
496,Chronicles of Hero (1994),145,Action|Sci-Fi,1994
497,The Last Night (1980),85,Family|Sci-Fi,1980
498,Escape from Truth (2024),199,Horror,2024
499,The Last Forest (1983),190,Romance|Fantasy|Crime,1983
500,The Last Light (1974),162,Horror|Romance,1974
